name,sname,m,n,K_f,K_l,K_q,K_s,fp,fd,fL,fU,fU-fL,mu_fU_fL,ts,tL,tL/ts,tU,tU/ts
bm1,mosek,883,389403,0,0,0,1,23.4397,23.4397,-Inf,Inf,Inf,NaN,49.2423,51.4632,1.0451,54.4632,1.106
copo14,mosek,1275,1834,0,1,0,1,-9.8158e-10,-1.2542e-09,-1.2551e-09,8.6614e-10,2.1212e-09,2.1212e-09,0.25144,0.3769,1.499,0.38254,1.5214
copo23,mosek,5820,8119,0,1,0,1,-7.6531e-09,-8.7307e-09,-8.7307e-09,5.1542e-09,1.3885e-08,1.3885e-08,3.8386,0.098204,0.025583,3.5441,0.92329
copo68,mosek,154905,209644,0,1,0,1,-4.032e-08,-4.2353e-08,-4.2353e-08,2.2655e-08,6.5008e-08,6.5008e-08,11768.0953,0.44931,3.818e-05,8612.3882,0.73184
fap09,mosek,30276,43275,0,1,0,1,10.7978,10.7978,10.7975,Inf,Inf,NaN,1647.9494,7638.9635,4.6354,0.02887,1.7519e-05
fap25,mosek,4485924,6708303,0,1,0,1,NaN,NaN,,,,,26.3214,,,,
filter48_socp,mosek,969,2156,0,1,1,1,1.4161,1.4161,1.4161,1.4161,1.5289e-05,1.0796e-05,0.14992,0.35932,2.3968,0.2,1.334
filtinf1,mosek,983,2219,0,1,1,1,0,1.4482e-07,-Inf,Inf,Inf,NaN,0.16851,0.18613,1.1046,0.78717,4.6714
hamming_10_2,mosek,23041,524800,0,0,0,1,-102.4,-102.4,-102.4,-102.4,7.1767e-07,7.0085e-09,249.1892,291.4774,1.1697,256.4858,1.0293
hamming_11_2,mosek,56321,2098176,0,0,0,1,-170.6667,-170.6667,-170.6667,-170.6664,0.00027618,1.6182e-06,2159.4889,2549.775,1.1807,2225.8245,1.0307
hamming_7_5_6,mosek,1793,8256,0,0,0,1,-42.6667,-42.6667,-42.6667,-42.6667,1.8388e-10,4.3097e-12,0.65603,0.66382,1.0119,0.69575,1.0605
hamming_8_3_4,mosek,16129,32896,0,0,0,1,-25.6,-25.6,-25.6,-25.6,2.2772e-07,8.8954e-09,97.3293,97.2217,0.99889,96.9484,0.99609
hamming_9_5_6,mosek,53761,131328,0,0,0,1,-85.3333,-85.3333,-85.3333,-85.3333,1.3646e-07,1.5991e-09,1932.9652,3855.1056,1.9944,2165.7746,1.1204
hamming_9_8,mosek,2305,131328,0,0,0,1,-224,-224,-224,-224,1.7373e-07,7.7559e-10,2.8235,3.1001,1.0979,3.1535,1.1169
hinf12,mosek,43,120,0,0,0,1,-1.449e-13,-1.1714e-13,-Inf,Inf,Inf,NaN,0.032413,0.14928,4.6054,0.52421,16.173
hinf13,mosek,57,178,0,0,0,1,-44.3469,-44.3466,-44.3466,Inf,Inf,NaN,0.057269,0.010964,0.19145,0.057998,1.0127
minphase,mosek,48,1176,0,0,0,1,5.9825,5.9825,5.9825,Inf,Inf,NaN,0.10886,0.005539,0.050883,0.10496,0.96416
nb_L1,mosek,915,3176,0,1,1,0,-13.0123,-13.0123,-Inf,-13.0123,Inf,NaN,0.23408,11.7049,50.0046,2.9459,12.5854
nb_L2,mosek,123,4195,0,1,1,0,-1.629,-1.629,-Inf,-1.629,Inf,NaN,0.17675,5.4026,30.5671,2.5642,14.5075
nb_L2_bessel,mosek,123,2641,0,1,1,0,-0.10257,-0.10257,-Inf,-0.10257,Inf,NaN,0.1302,7.2418,55.6203,1.2475,9.5815
nb,mosek,123,2383,0,1,1,0,-0.050703,-0.050703,-Inf,-0.050703,Inf,NaN,0.15657,15.952,101.8863,5.1997,33.2105
nql180,mosek,130080,226802,0,1,1,0,-0.9277,-0.9277,-Inf,Inf,Inf,NaN,6.5439,384.2706,58.7217,25.014,3.8225
nql180old,mosek,129601,292560,0,1,1,0,0.92773,0.92773,-Inf,0.94075,Inf,NaN,11.1938,51.522,4.6027,544.5068,48.6436
nql30,mosek,3680,6302,0,1,1,0,-0.94603,-0.94603,-Inf,Inf,Inf,NaN,0.13593,10.1999,75.0389,0.087942,0.64697
nql30old,mosek,3601,8260,0,1,1,0,0.94603,0.94603,-Inf,Inf,Inf,NaN,0.20637,4.5158,21.8819,12.5659,60.8891
nql60,mosek,14560,25202,0,1,1,0,-0.93505,-0.93505,-Inf,Inf,Inf,NaN,0.60253,39.6096,65.7392,0.64428,1.0693
nql60old,mosek,14401,32720,0,1,1,0,0.93505,0.93505,-Inf,Inf,Inf,NaN,1.0282,13.9782,13.5948,53.0588,51.6034
qssp180,mosek,130141,261366,0,1,1,0,-6.6393,-6.6393,-6.6398,-6.6372,0.0025236,0.00038014,5.9818,142.2034,23.7729,261.1036,43.65
qssp180old,mosek,196024,390964,0,1,1,0,6.6383,6.6383,-Inf,6.6403,Inf,NaN,6.4313,863.6143,134.2825,153.2049,23.8217
qssp30,mosek,3691,7566,0,1,1,0,-6.4967,-6.4967,-6.4967,-6.4967,9.6421e-06,1.4842e-06,0.13999,3.8964,27.8331,3.8913,27.7964
qssp30old,mosek,5674,11164,0,1,1,0,6.4967,6.4967,-Inf,6.4967,Inf,NaN,0.15799,21.9547,138.9636,3.8888,24.6141
qssp60,mosek,14581,29526,0,1,1,0,-6.5627,-6.5627,-6.5627,-6.5627,1.8974e-05,2.8912e-06,0.53972,15.158,28.0851,23.9832,44.4366
qssp60old,mosek,22144,43924,0,1,1,0,6.5627,6.5627,-Inf,6.5627,Inf,NaN,0.63551,86.1999,135.6383,15.2474,23.9923
sched_100_100_orig,mosek,8338,18240,0,1,1,0,717340.1902,717340.2406,-Inf,Inf,Inf,NaN,0.86242,0.87177,1.0108,0.044062,0.051091
sched_100_100_scaled,mosek,8337,18238,0,1,1,0,27.3307,27.3307,27.3307,Inf,Inf,NaN,0.39026,0.4032,1.0332,0.034944,0.089541
sched_100_50_orig,mosek,4844,9746,0,1,1,0,181888.5465,181888.5516,-Inf,Inf,Inf,NaN,0.38455,0.52366,1.3617,0.022998,0.059805
sched_100_50_scaled,mosek,4843,9744,0,1,1,0,67.165,67.165,67.165,Inf,Inf,NaN,0.21782,0.22738,1.0439,0.023359,0.10724
sched_200_100_orig,mosek,18087,37889,0,1,1,0,141359.4915,141359.4927,-Inf,Inf,Inf,NaN,1.6738,2.3522,1.4052,1.9423,1.1604
sched_200_100_scaled,mosek,18086,37887,0,1,1,0,51.8119,51.8119,51.8119,Inf,Inf,NaN,1.03,0.007933,0.0077023,0.079375,0.077066
sched_50_50_orig,mosek,2527,4979,0,1,1,0,26672.986,26672.9862,26672.9963,26673.5794,0.58308,2.186e-05,0.17305,0.20096,1.1613,0.35739,2.0652
sched_50_50_scaled,mosek,2526,4977,0,1,1,0,7.852,7.852,7.852,7.8523,0.00027003,3.439e-05,0.094526,0.10335,1.0933,0.12451,1.3172
torusg3-15,mosek,3375,5697000,0,0,0,1,-318810925.5086,-318810924.5757,-318810980.933,-318810810.1935,170.7395,5.3555e-07,438.4413,460.8846,1.0512,463.4098,1.0569
torusg3-8,mosek,512,131328,0,0,0,1,-48340946.3564,-48340945.4886,-48340953.2808,-48340917.5745,35.7063,7.3864e-07,2.2899,2.4459,1.0681,2.5039,1.0934
toruspm3-15-50,mosek,3375,5697000,0,0,0,1,-3474.794,-3474.794,-3474.7961,-3474.794,0.0021315,6.1343e-07,389.1891,416.4637,1.0701,6.8857,0.017692
toruspm3-8-50,mosek,512,131328,0,0,0,1,-527.8086,-527.8086,-527.8088,-527.8086,0.00016962,3.2137e-07,2.5233,2.7438,1.0874,2.3907,0.94742
truss5,mosek,208,1816,0,1,0,1,132.6357,132.6357,132.6357,132.6357,2.385e-06,1.7981e-08,0.098247,0.28335,2.884,0.28596,2.9106
truss8,mosek,496,6271,0,1,0,1,133.1146,133.1146,133.1146,133.1146,1.114e-05,8.3688e-08,0.56524,0.79725,1.4105,0.7741,1.3695
