name,m,n,sname,EL2,EL-EL2,EU,mu_EU_EL2,mu_EU_EL,ts,tL2/ts,tL/ts,tU/ts
AlH,7230,2569260,mosek,-241.5075,-0.00031123,Inf,NaN,NaN,5525.0002,0.00026911,1.9196,1.4347
AlH,7230,2569260,sdpt3,-241.5073,4.7936e-07,-241.5073,2.1004e-08,1.9019e-08,35630.9234,4.1227e-05,1.0059,4.5141e-05
B2,7230,2569260,mosek,-49.0165,-Inf,Inf,NaN,NaN,7252.6989,0.00020344,0.93562,0.0052181
B2,7230,2569260,sdpt3,-49.0159,-Inf,-49.0158,3.799e-06,NaN,32243.6157,4.1255e-05,1.003,5.2488e-05
BF,7230,2569260,mosek,-123.6125,-0.00023838,Inf,NaN,NaN,5490.657,0.00025688,1.0501,1.2588
BF,7230,2569260,sdpt3,-123.6124,4.557e-07,-123.6124,5.3431e-08,4.9744e-08,35792.2705,3.4502e-05,1.0018,4.4736e-05
BH+,948,116692,mosek,-24.8015,-3.099e-05,-24.8014,6.0864e-07,1.8582e-06,22.5795,0.0056415,1.0025,3.4334
BH+,948,116692,sdpt3,-24.8014,1.9855e-10,-24.8014,1.9529e-08,1.9521e-08,125.5441,0.0010179,0.0012668,0.0010882
BH2,1743,296271,mosek,-25.7032,-1.8166e-05,-25.7031,7.1784e-07,1.4246e-06,150.2889,0.0012522,1.8711,2.8449
BH2,1743,296271,sdpt3,-25.7032,1.5758e-08,-25.7032,1.2267e-08,1.1654e-08,631.6985,0.00029824,1.0412,0.00043096
BH,948,116692,mosek,-25.0594,-1.6536e-05,Inf,NaN,NaN,27.9424,0.0046709,0.91203,1.2293
BH,948,116692,sdpt3,-25.0594,2.3014e-09,-25.0594,1.8767e-08,1.8675e-08,133.4805,0.00096947,0.0012021,0.0010467
BO,7230,2569260,mosek,-99.2588,0.00013644,Inf,NaN,NaN,6516.0007,0.00022197,2.0448,1.0772
BO,7230,2569260,sdpt3,-99.2587,-Inf,-99.2586,9.9268e-07,NaN,33995.4136,4.1367e-05,0.99574,4.8613e-05
BeF,7230,2569260,mosek,-113.641,-0.00012408,Inf,NaN,NaN,5650.3746,0.0002352,1.0521,1.6537
BeF,7230,2569260,sdpt3,-113.6409,2.6432e-06,-113.6409,1.1974e-07,9.6486e-08,35853.8503,3.8768e-05,3.0173,4.4915e-05
BeH,948,116692,mosek,-15.1163,-2.582e-05,-15.1163,5.6293e-07,2.271e-06,25.3656,0.0051189,1.0533,2.0436
BeH,948,116692,sdpt3,-15.1163,2.2664e-10,-15.1163,1.4412e-08,1.4397e-08,128.0087,0.0010205,0.0012891,0.001067
