name,sname,m,n,K_f,K_l,K_q,K_s,fp,fd,fL,fU,fU-fL,mu_fU_fL,ts,tL,tL/ts,tU,tU/ts
buck1,mosek,36,661,0,1,0,1,-146.4192,-146.4192,-146.4192,-146.4191,3.6869e-05,2.5181e-07,0.057812,0.4544,7.86,0.40629,7.0277
buck2,mosek,144,9553,0,1,0,1,-292.3683,-292.3683,-Inf,-292.3682,Inf,NaN,0.32095,0.3987,1.2422,0.38167,1.1892
buck3,mosek,544,103585,0,1,0,1,-607.6035,-607.6035,-Inf,Inf,Inf,NaN,8.1941,7.3728,0.89976,7.769,0.94812
buck4,mosek,1200,454129,0,1,0,1,-486.1421,-486.1421,-486.1422,-486.1392,0.0029174,6.0011e-06,38.5415,31.0141,0.80469,31.2566,0.81099
buck5,mosek,3280,3104401,0,1,0,1,-436.2391,-436.2391,-Inf,Inf,Inf,NaN,787.5623,924.1579,1.1734,863.7907,1.0968
mater-1,mosek,103,1322,0,1,0,1,143.4654,143.4654,143.4654,143.4654,7.0932e-06,4.9442e-08,0.044068,0.059465,1.3494,0.17311,3.9283
mater-2,mosek,423,6074,0,1,0,1,141.5919,141.5919,141.5919,141.5919,7.7244e-06,5.4554e-08,0.15773,0.75985,4.8173,0.9145,5.7977
mater-3,mosek,1439,21518,0,1,0,1,133.9163,133.9163,133.9163,133.9163,6.1817e-06,4.6161e-08,0.64214,1.1787,1.8356,5.361,8.3487
mater-4,mosek,4807,74978,0,1,0,1,134.2627,134.2627,134.2627,134.2627,9.017e-06,6.7159e-08,2.3599,4.5048,1.9089,40.6035,17.2053
mater-5,mosek,10143,160910,0,1,0,1,133.8016,133.8016,133.8016,133.8017,1.1556e-05,8.6367e-08,5.1489,8.4147,1.6343,24.6037,4.7784
mater-6,mosek,20463,327758,0,1,0,1,133.5387,133.5387,133.5387,133.5388,3.7354e-05,2.7972e-07,12.697,19.2044,1.5125,182.6258,14.3834
shmup1,mosek,16,1713,0,1,0,1,-188.4148,-188.4148,-188.4148,-188.4146,0.00019666,1.0438e-06,0.045398,0.068437,1.5075,0.13517,2.9774
shmup2,mosek,200,194881,0,1,0,1,-3462.4267,-3462.4267,-3462.4269,-3462.4228,0.0040486,1.1693e-06,9.3838,9.7804,1.0423,8.9897,0.95801
shmup3,mosek,420,812641,0,1,0,1,-2098.8372,-2098.8372,-Inf,-2098.8224,Inf,NaN,65.076,77.8053,1.1956,66.2679,1.0183
shmup4,mosek,800,2827361,0,1,0,1,-7992.5495,-7992.5495,-Inf,-7992.5143,Inf,NaN,583.4887,467.8454,0.80181,488.7272,0.8376
shmup5,mosek,1800,13849441,0,1,0,1,-23858.8522,-23858.8522,-Inf,Inf,Inf,NaN,6513.4218,5132.7062,0.78802,7941.9018,1.2193
trto1,mosek,36,361,0,1,0,1,-1104.5,-1104.5,-1104.5,-1104.4999,8.0377e-05,7.2772e-08,0.037192,0.047254,1.2705,0.043764,1.1767
trto2,mosek,144,4897,0,1,0,1,-12800,-12800,-Inf,-12799.9962,Inf,NaN,0.21442,0.31472,1.4678,0.24628,1.1486
trto3,mosek,544,52225,0,1,0,1,-12800.0008,-12800.0008,-Inf,Inf,Inf,NaN,5.709,7.6197,1.3347,6.2117,1.0881
trto4,mosek,1200,228001,0,1,0,1,-12765.8301,-12765.8301,-Inf,Inf,Inf,NaN,41.9124,51.7229,1.2341,40.8747,0.97524
trto5,mosek,3280,1554721,0,1,0,1,-12799.9804,-12799.9803,-Inf,Inf,Inf,NaN,511.3055,481.1223,0.94097,476.5699,0.93206
vibra1,mosek,36,661,0,1,0,1,-40.819,-40.819,-40.819,-40.819,1.3049e-05,3.1968e-07,0.029096,0.046757,1.607,0.053452,1.8371
vibra2,mosek,144,9553,0,1,0,1,-166.0153,-166.0153,-Inf,-166.0153,Inf,NaN,0.40221,0.41708,1.037,0.33886,0.84248
vibra3,mosek,544,103585,0,1,0,1,-172.6126,-172.6126,-Inf,-172.6127,Inf,NaN,7.7298,7.1934,0.93061,6.5286,0.8446
vibra4,mosek,1200,454129,0,1,0,1,-165.613,-165.613,-165.6135,-165.6129,0.00059867,3.6148e-06,36.2254,36.2989,1.002,36.6145,1.0107
vibra5,mosek,3280,3104401,0,1,0,1,-165.8967,-165.8967,-Inf,Inf,Inf,NaN,838.9103,1213.3901,1.4464,1172.7123,1.3979
